age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class
48,0,173.7,59.0,24.447235,87,109,47.34,16.72,44,190,2
41,0,171.9,73.96,34.58963,75,135,48.18,1.92,43,199,4
41,1,160.7,46.68,30.77831,60,127,23.01,25.85,38,171,3
40,0,175.7,79.83,23.11235,79,142,47.42,11.35,46,220,3
23,0,175.2,65.91,21.978279,62,105,49.3,15.55,44,265,1
23,1,163.5,56.22,35.836342,82,117,29.76,14.16,20,192,4
23,1,163.2,58.66,19.380454,60,109,26.43,25.79,48,194,1
40,0,176.6,76.21,21.869458,86,143,40.22,12.89,53,163,4
24,1,173.0,64.72,16.649332,76,115,36.56,20.97,54,240,2
62,0,178.3,69.34,22.139941,68,133,37.93,2.37,35,178,3
44,0,169.2,85.64,21.028337,86,148,39.43,12.56,45,241,3
39,0,178.5,78.73,14.801453,96,132,46.68,-5.72,53,225,3
42,0,181.8,78.98,26.112289,66,136,37.53,17.05,35,177,3
23,0,167.7,51.73,27.569873,94,119,28.41,7.94,39,163,4
40,0,171.1,69.8,30.321942,80,131,42.08,5.61,51,190,1
36,1,169.3,54.52,19.809556,80,120,34.51,13.35,61,117,2
40,0,176.6,77.84,20.460071,97,136,47.69,12.67,45,137,4
37,0,183.6,54.44,20.460214,83,144,41.75,15.74,24,198,4
62,1,157.4,53.12,34.517452,75,114,28.2,21.53,32,128,1
59,1,164.3,60.3,30.406633,77,121,25.16,1.35,1,147,4
23,0,167.9,67.79,17.171077,74,119,47.81,15.22,45,235,3
62,0,168.4,72.39,14.585302,97,134,45.72,10.24,37,205,3
27,0,178.8,76.48,26.23552,77,139,46.84,14.05,34,162,4
42,1,158.1,59.06,28.166105,82,147,34.24,12.11,55,175,4
42,0,175.6,84.85,20.956828,85,159,59.2,19.28,49,244,3
51,1,157.9,61.14,30.016382,73,120,22.8,-9.94,32,125,3
62,1,155.7,50.64,29.588049,59,117,24.54,11.2,19,143,4
39,0,177.9,68.87,22.638946,94,144,50.25,13.91,49,258,3
23,1,163.5,56.12,24.385974,58,114,26.53,17.84,16,180,1
24,0,167.1,63.47,22.203264,77,122,52.07,20.03,44,240,1
63,0,162.4,76.22,29.187759,81,145,36.32,11.29,35,180,3
64,0,164.3,77.92,35.502476,97,144,32.19,-6.82,13,110,4
29,1,165.9,63.38,17.677045,72,136,34.61,25.2,54,203,1
22,1,161.4,61.81,19.005557,67,129,28.5,20.51,48,203,1
56,0,175.3,69.9,29.79461,89,151,31.9,-6.65,20,186,4
31,1,168.4,47.94,17.735626,80,109,37.42,23.72,39,200,1
33,0,168.1,63.05,15.205883,75,107,42.58,15.99,40,233,1
25,1,163.0,54.44,18.387452,74,118,26.28,21.79,25,203,1
47,0,174.4,77.43,31.485445,84,139,43.02,16.27,53,232,3
63,1,155.0,54.25,34.51005,65,126,21.23,13.02,16,123,4
43,0,155.8,79.1,17.876217,91,132,36.55,6.92,42,206,4
52,1,155.1,54.03,27.180173,85,114,26.67,14.3,36,134,3
62,1,158.5,60.31,31.516872,74,120,29.23,-6.14,2,149,4
30,1,166.9,52.38,17.725426,73,115,26.18,21.0,47,185,1
22,0,173.7,62.83,16.352632,85,136,48.88,17.92,43,234,3
44,0,179.2,87.68,23.637548,78,141,50.24,1.89,38,191,3
23,0,173.7,73.85,16.432885,87,139,44.46,14.04,39,159,3
22,0,181.6,62.42,12.922857,63,148,44.58,19.04,44,225,2
45,0,175.7,78.52,21.813695,92,147,46.57,13.31,48,217,3
29,0,172.9,62.97,25.170342,71,106,48.31,10.7,23,196,3
21,0,179.6,78.67,23.0709,83,107,38.75,14.62,48,234,1
45,1,156.7,50.08,31.66181,79,149,21.86,2.09,28,151,4
61,0,172.6,87.82,35.408678,81,156,30.15,13.31,37,155,4
43,1,166.0,58.65,18.253325,78,109,38.23,14.18,47,196,2
22,0,182.3,64.81,17.351782,90,153,54.37,21.5,38,221,2
26,1,175.4,59.34,19.013361,65,111,29.64,15.57,44,187,1
49,0,166.4,82.6,24.754488,83,140,47.71,2.37,43,191,3
48,1,168.8,53.62,23.170776,80,129,22.59,21.57,28,204,1
22,0,173.7,74.66,20.741912,71,125,44.85,10.52,39,249,2
29,1,153.9,51.31,30.623636,74,116,28.32,25.87,28,134,1
63,0,165.5,73.48,21.398256,88,110,42.47,13.0,31,198,3
22,0,165.9,61.56,20.340428,70,125,48.27,23.17,55,237,1
23,0,164.2,61.67,20.239958,75,124,45.5,18.58,47,261,2
30,0,171.7,73.65,17.540637,89,125,49.46,11.76,40,238,2
57,1,162.9,61.38,22.661794,74,118,25.0,19.82,21,152,4
55,0,176.3,75.23,20.268059,78,140,42.44,15.51,33,244,3
31,0,173.6,81.36,13.802875,65,128,47.48,13.21,41,253,2
61,0,176.6,86.0,35.846462,97,144,48.9,5.61,54,248,4
22,0,177.8,66.82,15.270908,82,144,49.13,17.15,60,198,3
22,0,169.2,65.63,14.329506,61,129,44.82,21.38,60,186,1
36,0,167.3,73.4,18.881157,84,109,45.77,21.09,33,171,2
60,0,161.6,57.08,25.864011,81,114,38.15,13.56,29,145,3
37,1,164.8,53.06,15.625214,76,103,25.67,30.1,28,129,1
36,0,166.7,71.32,11.132324,66,115,45.92,-3.61,44,218,3
22,1,166.0,61.12,23.184602,65,119,26.17,19.23,42,217,3
60,1,166.4,53.03,24.361158,85,125,31.01,9.76,17,156,4
59,0,163.1,93.32,25.309495,78,156,36.58,14.84,37,128,4
60,1,171.6,65.35,26.764689,80,129,35.36,16.21,23,205,2
46,0,179.8,70.32,24.374934,79,140,36.52,0.71,47,184,4
32,0,166.2,62.03,19.659105,71,131,57.93,10.28,45,202,3
39,1,160.8,59.63,19.605416,58,118,32.84,24.3,39,195,1
36,0,173.5,57.01,22.58487,73,117,47.25,17.6,39,202,2
22,1,167.1,59.58,19.910696,80,128,30.92,17.26,55,193,1
64,0,181.8,80.57,26.771556,95,148,44.14,6.3,41,186,4
43,1,179.1,61.39,15.25283,83,125,43.18,17.4,58,200,2
60,0,166.1,70.93,20.490859,73,113,36.71,18.19,34,166,3
30,0,175.2,74.14,19.16837,82,126,44.84,21.29,50,235,3
60,0,177.4,90.08,24.058928,96,132,44.44,-5.48,31,177,3
33,0,175.1,75.3,19.991532,96,132,48.29,15.56,51,232,2
22,1,168.1,65.57,20.622811,77,133,35.74,24.51,47,168,1
62,1,171.3,54.72,21.813406,71,130,32.57,15.01,29,184,4
29,0,168.6,61.6,23.573057,85,126,45.6,16.17,48,198,3
64,0,180.9,75.92,24.652188,78,142,40.34,-9.35,43,197,3
23,1,168.6,60.87,15.912299,73,113,30.85,21.12,43,180,1
22,0,178.8,62.49,21.302092,79,120,50.1,7.97,12,164,3
62,0,163.4,69.88,34.223739,73,113,32.64,-8.47,15,186,4
22,0,170.5,66.53,20.120683,80,133,46.68,17.79,46,245,2
52,1,164.7,56.29,17.34891,81,105,34.61,19.41,54,207,1
53,0,171.8,78.16,22.364444,83,154,45.39,15.58,33,182,4
41,0,177.3,71.13,14.92357,59,117,48.0,13.59,59,231,2
27,0,172.5,69.47,21.159141,86,139,44.61,16.14,49,243,3
54,0,162.4,83.1,23.184756,93,117,47.98,-6.63,9,208,3
64,1,155.5,51.18,16.270654,90,133,27.42,17.51,8,150,4
22,0,168.7,57.5,23.604872,66,138,44.19,20.62,40,240,2
55,1,161.4,61.08,27.961695,88,153,23.22,6.82,16,127,4
