age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class
31,0,173.3,64.28,9.37198,58,128,42.09,17.0,57,252,2
24,0,170.4,72.4,25.10356,78,135,43.73,12.68,43,214,1
23,1,162.6,52.15,23.926043,71,116,22.69,22.29,49,135,1
23,0,164.3,65.76,30.635032,84,118,25.73,25.94,30,146,2
24,0,164.0,54.49,27.118784,77,115,25.92,19.53,24,164,3
22,0,173.9,64.83,21.677446,82,141,39.53,11.5,31,191,4
59,0,174.3,74.06,31.241724,92,155,43.15,-10.0,17,179,4
29,0,180.8,82.14,9.271458,71,128,53.61,16.22,48,232,1
28,0,179.6,80.66,19.623729,59,148,44.73,12.12,55,245,2
55,0,176.8,91.0,23.854181,87,144,32.46,17.88,30,239,2
27,0,184.9,76.13,13.331281,75,141,56.59,19.67,49,254,1
24,1,156.9,62.21,31.205707,97,120,19.38,11.41,27,116,2
25,0,179.3,84.56,11.941477,91,135,42.58,2.59,48,231,1
48,1,162.4,67.65,26.989665,64,118,32.24,11.46,30,155,3
26,0,184.1,84.01,9.0,61,133,44.23,17.96,62,257,3
26,0,181.8,86.7,13.474969,71,137,36.29,26.66,48,203,2
62,0,177.5,82.79,23.584034,78,113,41.86,13.07,50,198,2
24,1,166.0,52.87,29.079253,72,114,19.48,27.89,29,166,4
40,0,164.6,62.7,22.418083,76,129,41.42,27.81,32,165,1
22,1,163.4,52.4,30.096136,62,110,19.0,22.34,44,124,2
26,0,180.8,90.67,29.943635,80,132,38.19,5.72,23,206,3
22,1,161.6,59.25,36.233034,99,123,18.57,28.31,30,132,2
47,0,174.8,77.42,10.622838,89,137,57.42,8.14,48,247,3
25,0,171.6,79.62,11.938755,90,141,39.85,20.2,55,240,2
62,0,178.4,83.04,19.370958,70,143,40.7,7.35,39,242,1
26,0,183.7,89.58,13.922762,74,141,49.77,18.02,57,251,1
27,0,181.8,87.7,11.868067,66,144,51.39,18.28,42,226,3
22,1,162.3,58.49,27.146151,96,111,24.74,26.61,48,161,1
26,0,185.1,79.94,12.982243,59,139,44.24,20.48,61,251,2
60,1,173.7,72.93,24.165404,81,122,31.75,14.41,27,203,3
22,1,167.1,65.64,25.567195,72,113,24.32,22.73,37,173,1
