age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class
37,0,165.0,60.65,36.478912,74,121,31.48,11.63,25,152,3
33,0,161.1,60.39,28.953415,82,127,28.03,24.49,32,161,2
38,1,156.2,48.37,33.85363,78,140,20.22,25.26,20,106,3
24,0,181.4,71.09,14.279407,68,117,45.45,16.41,41,209,2
29,0,174.8,71.58,22.421839,73,134,44.61,16.14,41,191,2
64,0,168.6,70.64,18.287875,89,150,37.7,5.09,20,178,4
64,0,180.8,88.42,20.661253,91,146,49.56,20.4,48,225,2
50,0,182.8,77.94,18.039407,80,139,55.35,13.93,48,222,2
32,0,163.1,57.58,18.28631,79,153,35.19,14.45,47,221,2
51,0,163.5,82.03,36.319942,99,156,28.66,19.95,24,176,2
24,0,154.5,50.74,26.490409,79,127,25.13,12.01,58,240,2
25,0,175.7,81.41,17.474376,97,149,48.24,9.59,61,212,3
22,0,175.0,67.23,27.744803,71,110,24.58,11.59,39,210,4
44,0,178.0,74.22,24.348073,91,156,44.79,28.15,51,235,1
63,0,164.6,67.46,23.633293,64,141,39.28,13.48,27,173,3
31,1,153.9,49.25,31.498365,68,109,17.64,14.23,15,111,4
42,0,182.1,80.19,10.631752,71,152,43.9,20.67,60,248,2
50,0,160.3,49.38,26.081715,65,132,29.08,11.82,12,127,3
57,0,165.9,62.43,21.44715,89,130,25.81,19.98,29,170,2
34,0,162.4,79.73,22.48553,62,128,39.01,16.15,48,224,4
55,0,162.6,74.99,30.591718,85,144,40.58,18.45,43,237,3
22,0,167.4,56.41,27.285106,86,126,28.26,14.44,42,139,3
24,1,165.2,65.32,34.907693,63,126,30.65,24.87,27,152,4
27,0,170.1,63.2,18.044706,86,133,26.12,17.26,31,157,3
24,0,165.4,68.45,29.469845,70,114,27.48,16.11,22,148,4
53,0,156.5,59.59,29.605054,82,134,31.11,20.7,46,174,1
34,0,172.7,66.01,14.087451,67,130,41.13,17.5,32,203,2
21,0,179.0,70.73,9.773354,66,110,46.5,1.34,59,258,3
24,0,179.3,87.15,23.266305,89,143,46.95,8.09,37,215,3
62,0,170.1,71.56,14.127799,89,136,49.94,4.56,32,207,2
25,0,180.3,84.51,21.917453,78,127,48.96,8.59,36,220,4
23,0,173.9,61.74,10.168093,80,125,47.58,17.85,38,229,3
40,0,165.3,68.96,24.823643,74,122,35.82,17.25,41,152,3
47,1,153.6,53.66,36.983734,73,122,21.32,8.06,42,146,2
