age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class
35,1,158.5,71.76,29.131578,74,130,27.0,15.99,27,157,4
23,1,160.3,55.53,21.228073,79,134,29.64,22.49,39,140,2
30,1,153.9,47.47,30.238877,88,126,17.46,20.63,22,133,1
21,0,169.8,61.42,15.305556,70,122,37.63,2.93,56,238,2
30,0,172.5,74.65,15.445068,76,136,40.76,12.27,52,190,2
57,0,173.0,72.36,22.092879,92,153,43.95,1.8,26,154,3
61,0,171.2,63.78,15.390955,96,143,49.6,19.46,52,251,1
37,0,175.2,81.98,12.771155,85,142,43.94,9.57,55,246,1
45,1,173.3,71.19,22.236022,82,137,43.84,18.36,39,210,3
56,1,157.6,61.04,29.780535,98,159,47.68,24.85,42,164,2
32,1,165.3,76.17,35.197913,69,110,44.34,27.69,26,207,3
36,0,181.2,85.51,27.707055,96,143,45.4,18.03,57,226,1
32,0,163.9,71.67,24.396265,77,109,41.31,7.5,28,169,4
38,1,165.4,60.19,11.602909,96,147,44.68,25.31,54,249,1
55,1,174.5,68.2,16.167094,77,136,37.39,10.56,24,160,1
48,1,154.2,48.01,39.174148,72,106,18.5,12.09,9,114,2
24,0,182.8,67.02,10.257915,94,119,53.28,10.32,54,250,3
41,1,160.6,61.62,24.0026,69,134,21.41,5.07,22,130,3
34,0,160.1,55.6,22.741326,87,135,37.68,16.21,38,144,3
50,0,181.7,69.42,17.528638,71,121,48.09,18.33,27,183,4
34,0,170.7,73.1,20.462118,85,144,49.7,25.23,23,207,2
22,1,161.2,66.53,32.882651,82,124,23.45,16.33,48,164,2
44,1,164.3,52.03,19.985618,79,121,20.14,17.71,20,177,4
22,0,164.8,54.27,25.890915,88,131,30.4,7.87,45,165,1
23,1,163.8,56.83,26.521804,73,125,27.33,9.93,30,141,4
35,1,163.8,61.15,28.277422,78,129,32.48,27.39,37,177,3
48,0,171.2,55.79,15.831438,70,131,37.39,5.96,45,218,1
25,0,181.3,84.71,18.796467,60,109,56.24,2.81,54,244,3
59,0,174.0,76.23,23.734897,89,150,47.67,7.07,49,231,4
46,0,175.8,80.79,19.255453,77,153,50.07,6.67,45,176,3
38,0,175.2,77.31,18.799893,80,140,45.13,2.83,43,225,4
25,0,176.3,61.21,14.575296,72,138,36.15,2.89,44,215,3
37,0,169.8,60.83,25.606789,76,124,28.81,18.09,44,174,2
46,1,159.3,70.47,39.247843,73,111,28.39,24.85,20,146,1
54,0,172.9,67.23,30.124435,90,152,38.23,15.18,27,155,3
42,0,173.3,61.22,19.74431,73,125,33.25,27.98,64,203,1
55,1,151.2,47.04,31.719719,56,110,18.52,19.73,16,100,4
23,0,169.8,58.74,9.434399,64,120,40.63,27.61,62,234,1
28,1,176.0,60.56,21.82421,89,102,25.15,-0.79,42,187,3
44,0,168.9,80.32,18.173266,73,131,46.11,21.15,55,243,4
26,0,174.9,68.76,16.034345,79,149,43.34,25.02,52,241,3
54,0,162.2,50.58,19.78954,81,122,25.19,24.72,35,184,3
59,0,185.1,92.97,20.344255,90,125,53.79,-6.09,57,236,2
42,1,174.8,74.96,26.947942,68,123,35.42,12.38,49,195,2
21,0,170.6,59.33,12.739332,74,122,40.08,28.85,59,226,1
63,1,154.3,49.47,20.523242,73,109,27.57,26.95,40,187,2
45,0,168.9,72.1,22.916813,89,117,37.47,10.03,27,197,4
22,0,169.4,59.45,18.515701,83,117,45.93,6.17,54,218,1
59,0,174.9,65.57,17.707282,89,152,51.55,19.49,38,200,1
43,0,177.4,86.25,14.155235,88,143,49.96,22.34,42,251,1
62,0,181.6,84.4,16.393831,95,147,52.31,6.36,47,244,4
52,0,172.9,82.04,28.412511,96,155,27.4,4.68,33,136,1
42,0,166.3,64.6,13.656684,89,127,53.31,30.3,60,222,3
32,0,179.7,83.14,15.889307,76,133,45.17,18.99,59,239,2
62,0,166.0,71.54,28.819513,87,158,34.74,14.36,33,171,2
50,0,178.2,82.23,16.822572,76,124,55.89,20.82,58,250,3
40,1,163.0,60.35,19.854548,86,146,34.3,14.0,35,195,2
30,0,170.3,78.11,19.20051,81,115,45.27,14.82,33,146,2
32,1,165.8,56.51,33.634929,89,126,23.74,11.51,39,147,4
63,0,163.0,59.37,27.68136,82,153,31.95,16.81,13,153,1
49,0,170.5,70.63,32.222066,76,134,32.64,1.72,45,209,3
63,0,161.5,60.73,22.392115,75,145,42.18,18.66,52,196,3
24,0,183.7,82.43,15.65093,85,129,47.2,9.85,34,216,4
25,1,163.4,49.43,30.309822,75,109,21.96,9.37,35,149,3
27,0,172.6,73.33,23.936825,84,124,42.29,18.94,63,239,2
64,0,171.7,78.78,23.76661,84,140,43.94,-8.45,42,200,4
39,1,157.6,55.0,20.556566,74,131,26.85,13.72,36,174,1
27,0,176.4,60.94,14.676214,81,127,42.95,25.07,64,243,3
34,1,158.4,53.63,33.8636,62,99,27.62,20.12,26,140,1
42,0,177.4,80.68,18.744279,76,129,38.36,20.57,56,221,1
27,1,166.5,59.39,20.373428,68,132,30.37,25.44,45,152,2
64,0,165.0,67.56,22.70859,94,150,43.41,9.81,26,215,3
24,0,177.5,64.24,14.740793,62,118,43.45,23.91,48,246,3
22,0,172.8,65.12,15.964649,67,111,44.86,16.5,58,249,2
47,1,174.6,70.77,29.204688,66,146,30.03,22.4,19,180,3
57,1,159.0,55.59,22.313356,70,112,26.43,16.94,32,134,3
42,0,179.8,69.27,17.784554,78,109,45.21,13.8,25,221,1
35,1,161.3,68.83,34.951756,84,139,27.62,16.76,43,157,1
47,1,167.7,66.88,13.933793,89,146,46.08,24.82,50,211,1
30,0,180.2,89.93,19.203868,93,150,58.05,11.01,53,237,3
60,0,164.9,78.45,30.752093,91,151,40.75,15.65,45,181,2
47,0,165.4,58.89,16.893556,66,122,33.84,23.83,17,170,1
38,0,165.7,72.34,27.909038,85,138,39.91,12.43,39,166,4
58,0,171.0,72.45,27.678693,77,126,37.04,-1.88,27,138,4
62,1,162.1,52.65,25.070661,59,99,27.6,14.69,38,142,3
43,1,157.4,51.58,24.326482,73,126,23.01,9.09,29,132,2
52,0,171.3,67.07,26.731484,91,143,37.81,16.11,37,210,1
36,1,180.5,56.32,10.257397,75,112,33.92,21.81,56,234,1
33,0,170.3,72.87,24.03453,81,128,37.96,30.3,54,204,4
56,0,167.7,66.26,16.324753,75,121,52.72,17.02,51,207,3
41,1,163.0,53.23,21.872364,73,104,33.86,23.78,55,152,1
32,0,166.0,74.59,30.682069,83,155,32.08,8.81,32,217,1
54,0,176.9,73.52,25.949351,82,135,34.35,6.4,49,213,4
50,0,166.2,68.03,16.528172,68,123,40.03,19.16,29,207,2
40,1,155.1,48.59,27.497196,71,116,22.61,26.02,51,178,3
24,1,166.6,58.09,19.306656,67,139,39.41,24.27,54,194,2
43,0,170.5,78.7,14.094243,65,128,48.17,11.87,34,194,3
33,0,173.9,73.42,22.401109,71,117,43.49,14.07,47,190,1
38,0,170.2,77.22,22.322236,76,143,36.88,15.5,35,173,3
61,0,169.8,57.38,18.945092,67,137,40.34,16.18,33,185,4
57,0,165.9,65.27,18.988833,84,106,48.06,13.46,46,189,1
38,1,178.7,75.88,13.707442,72,110,55.72,9.61,48,211,3
35,0,182.6,83.13,20.907832,75,121,43.04,-0.15,53,227,2
35,0,161.6,60.86,18.980018,79,144,22.89,15.92,40,167,1
50,1,161.7,58.02,30.190013,63,109,23.43,21.6,34,140,3
26,1,167.8,57.87,20.539109,70,113,28.72,14.21,46,172,2
31,0,182.3,79.43,16.724183,74,141,47.25,24.28,60,238,3
48,0,158.7,58.8,26.968783,65,116,29.78,16.62,28,196,2
40,0,172.2,71.32,22.261802,85,148,33.64,19.06,35,175,2
30,0,172.8,61.97,23.217419,77,128,35.35,12.57,43,200,3
44,1,154.6,62.94,33.130251,73,143,29.2,16.21,27,157,4
28,1,169.2,68.44,24.802702,77,132,31.13,8.22,18,193,3
32,0,179.3,76.34,16.245649,83,134,47.03,15.45,54,237,2
52,0,178.6,85.82,26.089617,82,133,44.99,12.28,60,206,1
25,0,165.5,67.93,20.147769,90,147,55.27,20.2,63,259,2
33,0,180.1,74.85,9.0,84,130,50.97,10.95,62,241,1
37,1,183.3,82.97,15.279522,80,142,53.09,5.21,49,250,4
36,0,173.1,61.37,22.795801,90,121,33.13,20.27,58,212,2
27,1,160.1,69.95,31.255561,64,108,25.92,22.78,43,151,2
39,1,173.0,69.54,24.270498,87,132,26.94,23.29,54,222,3
42,1,154.7,56.2,35.1429,67,123,26.9,26.88,25,149,2
31,0,172.0,57.54,14.92848,79,130,50.86,15.35,48,215,4
56,0,169.2,83.78,27.902249,91,146,54.14,1.63,50,228,1
43,0,183.4,82.17,10.92353,93,134,43.79,15.48,44,241,1
29,1,159.1,61.13,27.907668,80,114,45.37,23.66,45,229,1
28,1,176.7,70.48,20.539811,93,144,52.95,9.66,53,208,3
25,0,181.3,66.34,15.266694,75,122,43.33,6.42,60,236,3
52,0,179.2,92.59,19.906861,91,149,54.09,7.1,48,220,1
61,1,170.1,68.07,22.472946,81,134,45.4,18.07,28,159,3
32,0,176.0,66.2,19.860512,76,119,40.53,1.74,47,246,2
38,0,182.0,87.6,16.173481,74,117,51.14,15.13,62,231,1
50,0,157.7,49.86,20.888595,80,141,25.7,6.82,46,143,4
27,1,173.2,75.73,17.194151,93,156,50.7,7.7,30,218,1
32,0,172.8,70.73,15.385598,75,109,35.14,7.24,37,187,3
28,0,177.1,74.63,14.861768,89,152,48.82,11.13,45,226,4
51,0,166.7,67.93,25.902698,95,122,29.05,17.8,42,192,3
31,0,167.4,66.78,30.832211,71,122,24.55,10.76,36,179,1
42,0,169.0,60.76,15.614139,92,130,44.23,16.06,45,212,2
28,0,178.5,83.57,25.37524,77,119,48.2,27.77,57,226,3
38,1,173.5,65.24,21.095302,60,103,31.64,11.29,26,177,4
57,0,169.6,60.47,11.556977,79,135,40.13,1.49,43,219,3
47,1,158.6,55.05,32.142738,56,105,19.18,17.19,29,149,4
63,0,172.7,68.85,13.612713,75,140,44.39,0.31,40,218,3
45,1,160.4,48.62,22.96436,64,122,24.92,8.39,39,172,2
27,0,179.4,84.02,19.13646,67,126,51.07,12.66,62,249,3
51,0,182.6,79.22,13.057425,74,138,55.69,18.01,48,243,3
53,1,155.1,63.31,36.12174,68,121,25.19,5.53,12,107,1
58,0,168.9,73.41,24.222709,75,118,35.23,9.66,46,193,2
46,0,175.8,76.76,16.122669,84,141,48.5,8.95,39,211,3
24,1,177.1,56.18,17.118851,86,124,34.56,10.13,39,240,1
28,0,161.6,52.73,19.35243,58,105,28.35,8.74,44,187,1
39,1,172.6,60.93,23.533871,78,123,31.08,22.48,24,176,2
48,0,173.7,67.0,18.213312,78,152,32.09,10.81,36,142,2
22,0,173.2,65.37,15.789212,70,116,36.88,1.41,58,223,2
24,0,179.9,68.08,12.067165,72,126,48.59,24.65,58,257,2
55,0,165.4,61.55,24.264181,79,125,34.29,20.44,38,148,1
21,1,158.8,65.05,23.455503,81,143,26.65,16.57,18,155,3
36,1,154.9,53.45,18.871414,68,109,27.28,14.63,46,187,1
32,0,165.3,61.31,21.205838,73,132,32.56,14.46,34,174,1
48,1,160.0,55.65,30.835482,62,115,28.97,27.19,35,175,3
27,1,163.7,67.7,20.844068,82,122,41.9,22.0,40,240,1
44,1,163.3,65.57,29.354264,80,141,26.46,23.49,46,222,2
50,1,166.7,64.65,20.543568,71,150,45.59,18.72,48,220,2
31,0,170.9,71.9,22.305092,69,132,33.66,6.56,35,168,4
37,0,171.9,74.92,15.601729,71,116,46.72,9.27,60,243,2
21,1,174.2,57.47,19.27488,77,143,41.97,22.55,49,209,4
48,0,161.0,54.97,20.454173,58,111,34.6,16.41,41,196,3
25,0,156.4,53.05,22.763795,70,114,34.64,22.52,36,177,3
21,0,169.2,53.84,20.121692,67,119,33.07,21.49,35,228,4
25,0,166.8,62.15,18.934508,88,148,46.52,16.8,55,240,3
31,0,181.4,87.62,18.170484,64,118,54.25,9.79,46,242,2
32,0,169.5,69.25,18.808167,86,132,49.88,21.75,43,229,2
32,0,171.3,75.81,15.867527,75,117,42.39,22.12,48,190,3
51,0,165.3,69.7,18.655659,82,136,40.8,12.97,29,153,1
31,0,170.1,79.22,23.563135,91,155,44.84,6.1,50,189,2
27,0,183.6,96.22,32.915082,96,141,52.93,4.88,35,253,4
51,0,161.8,52.9,25.264969,82,115,24.16,16.13,28,151,3
32,0,172.8,73.58,13.560058,74,119,32.06,16.15,55,231,4
26,0,172.8,65.87,26.887268,94,145,26.52,17.23,28,194,1
44,1,157.2,53.52,27.455405,60,114,28.45,10.46,34,174,2
62,1,172.7,72.63,30.02189,87,147,33.05,19.35,39,174,1
22,0,168.4,51.35,17.542434,72,125,24.53,23.06,50,177,4
59,1,161.6,65.63,33.415967,86,134,26.15,7.9,18,151,4
22,0,181.3,87.8,21.706135,77,113,42.96,18.4,46,215,1
55,0,182.0,87.63,11.549897,81,138,55.62,15.86,62,249,4
28,1,156.1,59.93,36.580596,73,114,22.61,9.4,23,175,4
60,1,155.6,48.16,24.413227,58,105,21.8,17.53,21,159,3
50,0,169.7,64.2,15.432414,85,142,46.46,26.81,42,205,3
40,0,171.4,73.14,28.68047,85,149,39.64,17.19,33,190,2
