age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class
24,0,169.7,67.6,11.348979,67,116,41.4,18.15,54,254,1
58,0,162.7,74.75,33.132199,88,145,30.62,1.91,20,143,4
25,0,175.9,74.62,17.682171,82,130,47.82,15.93,55,238,2
61,0,169.8,72.06,24.100025,96,159,41.43,15.82,33,198,2
23,0,180.6,85.64,14.169795,60,110,52.57,16.22,59,255,1
24,0,171.1,73.61,17.829685,80,145,45.51,16.63,48,221,2
59,0,166.2,67.32,28.772103,79,128,28.68,-2.42,15,164,4
22,1,165.3,56.93,25.837282,59,103,28.82,20.94,53,179,2
21,1,162.1,59.6,34.628145,61,104,20.24,13.02,38,150,4
23,0,172.3,81.25,20.068583,87,144,45.35,18.03,42,221,3
26,1,158.6,49.56,29.804641,76,118,25.93,21.08,28,148,2
21,0,169.1,63.96,20.081866,69,114,31.68,9.54,41,207,3
62,1,153.4,55.28,29.579621,74,128,23.23,21.95,27,125,1
24,0,170.9,68.43,13.535859,73,120,40.54,19.67,55,232,1
24,0,174.6,75.92,20.665817,80,131,39.21,6.95,50,216,3
23,1,160.6,51.16,27.300225,77,115,29.9,22.05,37,153,1
27,1,164.4,53.92,25.459062,76,119,28.3,21.2,50,184,1
61,1,167.0,52.31,30.303425,90,156,24.87,22.06,20,149,2
23,0,176.5,69.79,9.883342,73,119,52.23,19.22,53,235,1
23,0,180.9,76.92,21.635962,87,137,40.3,15.57,50,228,3
26,1,165.4,63.92,31.222499,82,129,30.41,13.4,23,167,3
44,1,158.8,54.81,30.453217,91,131,26.54,19.65,23,154,3
23,0,177.9,83.37,12.243285,65,117,51.56,14.59,52,246,3
26,0,174.1,79.44,11.680106,74,119,51.05,17.63,66,242,1
22,1,164.7,60.93,27.77755,65,118,24.06,17.15,35,160,4
64,0,169.6,70.65,23.882047,89,149,41.78,14.65,23,193,2
64,1,164.3,48.54,28.908645,94,154,26.37,20.15,28,155,2
53,0,175.6,74.95,23.583598,95,156,50.35,13.4,43,201,2
23,1,161.0,49.06,27.002127,80,121,25.4,21.57,32,157,3
27,0,178.3,74.31,24.594784,84,138,43.77,-4.55,42,208,4
22,1,165.7,54.36,30.080357,88,129,26.17,20.92,28,156,2
28,0,178.1,74.19,23.626288,97,153,46.8,11.67,45,212,4
60,0,170.2,76.12,20.714743,91,145,43.2,13.09,34,199,3
59,1,153.4,57.8,31.695928,71,119,24.34,24.94,30,137,2
32,0,179.5,94.09,27.020461,97,152,45.26,5.19,49,209,4
28,0,167.2,61.97,12.004217,82,128,40.73,17.24,51,241,1
22,1,162.5,45.78,27.440975,68,116,19.58,20.76,35,157,2
22,0,183.8,97.4,27.079628,93,152,42.63,8.34,37,199,4
29,0,168.6,64.13,21.934207,79,126,34.82,16.8,35,195,2
62,0,166.3,65.25,25.263398,86,147,37.15,10.15,23,164,3
61,1,153.9,54.78,25.617497,63,115,24.24,21.77,25,142,1
61,1,152.9,54.82,36.616063,77,128,21.05,15.79,20,123,3
62,0,170.3,63.78,18.933934,78,142,44.37,14.18,45,204,2
27,0,163.4,64.37,17.943251,85,140,36.28,23.46,49,188,1
42,0,165.8,65.29,20.294431,87,143,39.24,24.01,48,211,1
27,0,181.1,71.35,19.118756,76,130,46.33,16.44,49,214,3
23,1,161.2,50.81,31.693059,67,110,19.82,-9.53,1,135,4
24,1,166.8,72.8,23.089186,83,128,28.56,22.45,52,182,2
64,0,170.3,69.91,20.940976,80,133,40.18,16.06,44,212,2
54,1,158.6,54.87,28.407459,84,140,20.5,22.79,31,147,1
57,1,161.4,51.13,28.113046,93,149,23.84,22.51,34,150,1
29,0,169.4,65.31,11.875329,75,130,44.14,16.6,49,229,1
22,1,167.0,66.0,27.722732,65,113,28.38,2.06,31,173,4
24,0,174.3,82.16,17.54119,65,113,45.98,15.48,49,216,3
51,1,158.4,55.66,29.114216,66,115,26.88,20.22,32,145,2
25,0,171.4,62.94,14.113981,65,122,43.52,15.89,52,228,2
58,0,173.1,74.79,27.72359,98,155,43.69,11.1,31,169,4
28,0,185.2,79.09,15.063526,76,137,52.56,17.63,44,217,2
29,1,161.3,53.91,27.087919,74,112,25.85,16.2,31,158,3
26,0,166.5,61.29,13.978902,79,127,45.59,17.61,53,230,1
49,1,164.1,55.16,29.531175,83,137,28.6,24.22,22,161,2
26,0,175.5,70.02,15.321581,68,122,43.91,14.22,48,229,3
59,0,173.7,68.62,23.638826,82,130,38.94,11.8,34,191,3
24,1,162.0,63.72,26.506109,69,111,30.37,30.06,61,174,1
61,1,150.7,51.05,33.996527,72,122,22.99,19.95,9,131,3
63,1,163.0,51.42,27.647624,91,143,26.72,21.61,34,168,2
29,0,178.9,81.8,24.811455,94,154,51.27,13.55,46,218,4
63,0,166.0,68.66,24.832482,78,134,36.52,12.51,35,165,3
22,1,163.6,60.63,27.011505,80,130,26.17,21.16,30,161,2
51,0,174.0,72.62,25.872358,83,141,39.62,9.73,29,198,4
58,1,156.5,55.41,31.385154,79,122,27.21,17.12,16,127,3
56,0,169.5,61.81,23.68364,86,140,37.99,12.6,39,197,3
58,0,170.2,74.64,23.443026,91,145,36.36,14.71,42,206,3
27,0,166.2,67.4,16.902931,79,124,36.66,16.39,48,195,2
